iteration,well,delta_od600,od600_readings,Glucose,NaCl,Tryptone
1,A2,0.11149999999999999,"[0.0605, 0.0866, 0.1314, 0.1301, 0.1328, 0.1616, 0.1483, 0.158, 0.1547, 0.172]",12.3,14.6,23.3
1,B2,0.1131,"[0.0525, 0.0939, 0.0996, 0.1201, 0.1274, 0.1551, 0.1612, 0.1619, 0.1612, 0.1656]",9.5,13.4,10.4
1,C2,0.3705,"[0.0735, 0.1956, 0.2575, 0.2972, 0.3579, 0.3902, 0.3897, 0.4225, 0.4303, 0.444]",10.5,14.8,7.6
1,D2,0.1325,"[0.0823, 0.1102, 0.1247, 0.1592, 0.1882, 0.202, 0.1978, 0.1964, 0.1905, 0.2148]",19.4,11.0,3.2
1,E2,0.2752,"[0.0709, 0.1288, 0.2019, 0.2552, 0.2787, 0.3086, 0.3241, 0.3275, 0.3461, 0.3431]",5.3,12.6,1.9
1,F2,0.27599999999999997,"[0.0523, 0.1421, 0.192, 0.2283, 0.2561, 0.2832, 0.3083, 0.3157, 0.3032, 0.3283]",20.0,13.7,19.3
1,G2,0.6788000000000001,"[0.0578, 0.2577, 0.4141, 0.5042, 0.5639, 0.6301, 0.6575, 0.6912, 0.7366, 0.7328]",1.2,19.7,11.4
1,H2,0.2142,"[0.0534, 0.0985, 0.1747, 0.1878, 0.2345, 0.2322, 0.2511, 0.2527, 0.2572, 0.2676]",0.0,16.9,17.7
2,A3,0.2956,"[0.066, 0.1579, 0.2039, 0.2555, 0.2799, 0.2943, 0.3326, 0.3324, 0.3537, 0.3616]",13.2,19.8,11.4
2,B3,0.34330000000000005,"[0.0411, 0.1418, 0.219, 0.2738, 0.2989, 0.3132, 0.343, 0.357, 0.3844, 0.3725]",1.0,19.8,8.3
2,C3,0.3942,"[0.06, 0.1572, 0.2537, 0.3225, 0.3608, 0.3941, 0.4138, 0.4301, 0.4542, 0.4498]",4.4,18.2,3.4
2,D3,0.6708999999999999,"[0.04, 0.246, 0.3959, 0.4984, 0.5758, 0.6244, 0.6622, 0.6836, 0.6979, 0.7109]",0.0,20.0,0.0
2,E3,0.2957,"[0.0707, 0.1469, 0.2227, 0.2845, 0.3104, 0.3284, 0.3381, 0.3422, 0.359, 0.3664]",2.3,17.9,0.0
2,F3,0.6508999999999999,"[0.0683, 0.2521, 0.4016, 0.4893, 0.555, 0.61, 0.6565, 0.6754, 0.6996, 0.7192]",24.4,0.0,25.0
2,G3,0.3005,"[0.0687, 0.1441, 0.2034, 0.2699, 0.2952, 0.3095, 0.3296, 0.3438, 0.3692, 0.3477]",26.9,0.0,18.1
2,H3,0.2528,"[0.0823, 0.1412, 0.2239, 0.2449, 0.2751, 0.3004, 0.3132, 0.3334, 0.3351, 0.3327]",7.5,2.5,22.1
3,A4,0.4672,"[0.0569, 0.2231, 0.2864, 0.3639, 0.4137, 0.4605, 0.468, 0.5064, 0.5137, 0.5241]",29.8,2.9,3.0
3,B4,0.4412,"[0.0589, 0.1792, 0.2846, 0.353, 0.3964, 0.4371, 0.4716, 0.4777, 0.4872, 0.5001]",30.0,4.0,23.5
3,C4,0.2883,"[0.046, 0.1406, 0.1737, 0.2147, 0.2563, 0.2904, 0.2886, 0.3076, 0.3343, 0.3227]",30.0,4.3,4.5
3,D4,0.6023,"[0.0462, 0.2205, 0.3249, 0.4478, 0.5066, 0.5627, 0.5712, 0.6046, 0.6189, 0.6485]",30.0,4.6,0.0
3,E4,0.46110000000000007,"[0.0496, 0.1946, 0.3105, 0.3644, 0.4192, 0.4649, 0.482, 0.4923, 0.5107, 0.5043]",1.4,19.6,16.4
3,F4,0.46059999999999995,"[0.055, 0.1651, 0.3078, 0.3547, 0.4036, 0.4487, 0.4664, 0.4974, 0.509, 0.5156]",29.8,5.1,24.3
3,G4,0.7456,"[0.0483, 0.2808, 0.4475, 0.5406, 0.6361, 0.6723, 0.744, 0.748, 0.7736, 0.7939]",25.9,4.0,22.7
3,H4,0.46109999999999995,"[0.0632, 0.1914, 0.3068, 0.3607, 0.4001, 0.4669, 0.4803, 0.5058, 0.5105, 0.5243]",30.0,3.8,23.7
